Date,adj_close,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-06-15,183.95730590820312,184.46168752877136,181.75191900244837,181.9299404833556,65433200,2023-06-15,182.87933349609375,-0.005877142025364478,0.0,0.0,0.0,0.0,Medium
2023-06-16,182.87933349609375,184.92649747799743,182.2365125370702,184.66935702206612,101256200,2023-06-16,182.9683380126953,0.0004865659961177276,0.0,0.0,0.0,0.0,Medium
2023-06-20,182.9683380126953,184.0463209118931,182.37496829785866,182.37496829785866,49799100,2023-06-20,181.92990112304688,-0.0056916673287327165,0.0,0.0,0.0,0.0,Medium
2023-06-21,181.92990112304688,183.36389651223345,180.57500960781312,182.85951500078752,49515700,2023-06-21,184.93638610839844,0.016390452852216297,0.0,0.0,0.0,0.0,Medium
2023-06-22,184.93638610839844,184.98583735805877,181.6431320743364,181.7123668419414,51245300,2023-06-22,184.61988830566406,-0.0017128535058233947,0.0,0.0,0.0,0.0,Medium
2023-06-23,184.61988830566406,185.49018190726844,182.96831937745645,183.50236866585945,53117000,2023-06-23,183.2254638671875,-0.007581616076599648,0.0,0.0,0.0,0.0,Medium
2023-06-26,183.2254638671875,185.97478407089304,183.18589683511047,184.76824612936457,48088700,2023-06-26,185.98468017578125,0.014946868185348837,0.0,0.0,0.0,0.0,Medium
2023-06-27,185.98468017578125,186.31104030447904,183.62105538648717,183.83862880561904,50730800,2023-06-27,187.16152954101562,0.006307732661228443,0.0,0.0,0.0,0.0,Medium
2023-06-28,187.16152954101562,187.80435042269775,185.5297441703453,185.85608917215896,51216800,2023-06-28,187.497802734375,0.0017950882558618007,0.0,0.0,0.0,0.0,Medium
2023-06-29,187.497802734375,187.97251662731944,186.85498175364998,186.99343619982474,46347300,2023-06-29,191.8294677734375,0.02283966208268894,0.0,0.0,0.0,0.0,Medium
