Date,adj_close,High_SPY,Low_SPY,Open_SPY,Volume_SPY,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-05-05,400.44439697265625,401.5022040178637,396.5722373758648,396.8342531926733,87891800,2023-05-05,400.5511169433594,0.00026646833716418173,0.0,0.0,0.0,0.0,Medium
2023-05-08,400.5511169433594,401.03635114215353,399.1342413754571,400.7743353366889,50046800,2023-05-08,398.7946472167969,-0.004394775408493079,0.0,0.0,0.0,0.0,Medium
2023-05-09,398.7946472167969,399.9203943256629,398.5617442343938,398.98875277969995,49220100,2023-05-09,400.6578674316406,0.004661248927873801,0.0,0.0,0.0,0.0,Medium
2023-05-10,400.6578674316406,402.2979613255918,396.795392705803,401.6574486554975,96142900,2023-05-10,399.95916748046875,-0.001745404102292871,0.0,0.0,0.0,0.0,Medium
2023-05-11,399.95916748046875,400.25029616925275,397.8629520721835,399.78449026719835,70157100,2023-05-11,399.4350891113281,-0.0013111889156139109,0.0,0.0,0.0,0.0,Medium
2023-05-12,399.4350891113281,401.42456712060635,396.9895193812775,401.211062885863,70481500,2023-05-12,400.81317138671875,0.003444140289111642,0.0,0.0,0.0,0.0,Medium
2023-05-15,400.81317138671875,401.2207515377264,398.11527036535244,400.04649304279087,54289400,2023-05-15,398.1346435546875,-0.006705163509575341,0.0,0.0,0.0,0.0,Medium
2023-05-16,398.1346435546875,400.6287543406979,398.12492939388517,399.697083393987,57705500,2023-05-16,402.96759033203125,0.012065889237984719,0.0,0.0,0.0,0.0,Medium
2023-05-17,402.96759033203125,403.57896052496704,398.5131440854339,400.172636698948,87287000,2023-05-17,406.8494567871094,0.00958709427388086,0.0,0.0,0.0,0.0,Medium
2023-05-18,406.8494567871094,407.27646523015943,402.42412348308477,402.6473122489902,97177200,2023-05-18,406.2575378417969,-0.0014559438149803683,0.0,0.0,0.0,0.0,Medium
2023-05-19,406.2575378417969,408.29552771093387,405.025053450706,407.7617818573657,103793300,2023-05-19,406.4224853515625,0.0004059347032612915,0.0,0.0,0.0,0.0,Medium
2023-05-22,406.4224853515625,407.975240775284,405.0250084318478,406.2769210091644,60745400,2023-05-22,401.86126708984375,-0.011286300548269268,0.0,0.0,0.0,0.0,Medium
2023-05-23,401.86126708984375,406.35454064219726,401.46337148110194,404.7629582072301,86383500,2023-05-23,398.9499206542969,-0.007271025446367388,0.0,0.0,0.0,0.0,Medium
2023-05-24,398.9499206542969,400.6288419413023,397.7756619778609,400.24066043679915,89213700,2023-05-24,402.4047546386719,0.008622537550253648,0.0,0.0,0.0,0.0,Medium
